csvlblsprc,ovpr,wdaypr,wendpr,novpr,nwdaypr,nwendpr,moovpr,mowdaypr,mowendpr,afovpr,afwdaypr,afwendpr,evovpr,evwdaypr,evwendpr
2020_February_Z,3.46504377037326,4.60419161603763,-3.56525125158623,-6.18141348944763,-3.70816726643865,-12.8740799316284,7.3860452191626,8.77654136922987,-2.01215556815715,6.71421822814777,5.67285830103219,4.7519912289655,-1.55390825771506,-0.391452487362752,-5.92920716533701
2020_March_Z,-9.92845528875353,-12.2569353505405,-3.74823667855614,-6.19332561673644,-5.93158903961193,-7.71630187551793,-4.12340797960662,-6.95391683785251,3.44484783299663,-15.3073075923619,-18.747429394394,-3.63942405964353,-11.9945997228471,-13.6615867396098,-7.54131239016414
2020_April_Z,-25.9045858940655,-29.3824831085594,-15.9704925054057,-8.92584239144245,-10.1017804464675,-6.58615646032664,-23.0474385535053,-25.7884130152261,-16.9362041467377,-39.0509385604966,-43.7652328319654,-20.2270740884059,-21.0395852632025,-22.441847480602,-18.1504560574976
2020_February_H,8.39470739592288,9.87675368471525,1.40257074141279,0.112367864946616,3.56551529964472,-8.50719093027082,11.5210365767586,13.3422045884561,1.96160171823166,10.6280506372794,9.93038073187547,8.39028028374348,6.07303314252276,7.25102936179194,1.92084186393552
2020_March_H,-11.8174569953704,-13.836642605842,-6.70814503648646,-2.8631429200661,0.0878400716759169,-10.2463030963747,-6.98329389467435,-10.3324696637297,3.00660917325663,-19.849007929755,-22.6431454110731,-11.5442450934459,-11.9274525166592,-13.6994873988414,-7.1407403767686
2020_April_H,-22.9568492466967,-23.8298709759375,-22.8707611193646,-13.8397924417591,-13.2498935541299,-16.1567785598832,-15.0654970148858,-15.4467673376639,-19.127611029028,-32.4613521170095,-35.8132760897904,-22.5445751987746,-25.1190086964101,-22.7896769767207,-31.6095901911812
