outputtimes,rmsx,rmsy,rmsh,rmsz
Sunday 01-Mar-2020 00:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 01:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 02:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 03:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 04:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 05:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 06:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 07:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 08:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 09:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 10:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 11:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 12:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 13:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 14:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 15:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 16:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 17:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 18:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 19:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 20:00:00,2.6937169032962,2.37446041055726,3.93630602364177,1.05256073645294
Sunday 01-Mar-2020 21:00:00,-1,-1,-1,-1
Sunday 01-Mar-2020 22:00:00,2.64021707495198,2.34514464395772,3.86371587948111,1.02570494618125
Sunday 01-Mar-2020 23:00:00,2.60030923541655,2.33288883597947,3.83765543334637,0.944659271347085
Monday 02-Mar-2020 00:00:00,2.5598491923499,2.30593525279484,3.7749219002159,0.976432784626165
Monday 02-Mar-2020 01:00:00,2.38533673120837,2.11480636353113,3.48310631745091,0.878750010163503
Monday 02-Mar-2020 02:00:00,2.3991317966702,2.16827915058942,3.53306432279071,0.973048813196876
Monday 02-Mar-2020 03:00:00,2.53911347009946,2.30791058281852,3.75699165057405,1.00070420177378
Monday 02-Mar-2020 04:00:00,2.53257548634886,2.35074510205741,3.78093891267435,1.01813266018883
Monday 02-Mar-2020 05:00:00,2.75602091897926,2.58166434157317,4.14745739832626,1.11854745811157
Monday 02-Mar-2020 06:00:00,2.96993956902575,2.78560120076882,4.46048182294009,1.32001274016681
Monday 02-Mar-2020 07:00:00,3.69067280196079,3.33898193308525,5.50231689258595,1.65823309499309
Monday 02-Mar-2020 08:00:00,3.94560636877308,3.66466645158608,5.97993462430556,2.01149407850236
Monday 02-Mar-2020 09:00:00,4.90712516067175,4.58113513115071,7.43850135151769,2.57273114416824
Monday 02-Mar-2020 10:00:00,6.10375263906259,5.75238422252482,9.34050618409507,2.89438733848395
Monday 02-Mar-2020 11:00:00,5.86793927440159,5.48014181151343,8.90763984108221,2.96021596936347
Monday 02-Mar-2020 12:00:00,5.67415765542604,5.28404710517758,8.61579837360595,2.65448213601918
Monday 02-Mar-2020 13:00:00,6.33001825027336,5.96902354740049,9.65281222362651,3.01342501743259
Monday 02-Mar-2020 14:00:00,5.85400609261782,5.56475927701303,8.97483528864259,2.70507109178803
Monday 02-Mar-2020 15:00:00,5.95318155433385,5.59302755246186,9.13871206550185,2.45523946853647
Monday 02-Mar-2020 16:00:00,6.83188655833957,6.26941898576929,10.4012167338473,2.79748404818272
Monday 02-Mar-2020 17:00:00,5.09963558345198,4.78785262512443,7.822504564448,2.00927815159136
Monday 02-Mar-2020 18:00:00,4.10270556767544,3.78870712609246,6.22206591511243,1.56001780104455
Monday 02-Mar-2020 19:00:00,3.83815306588806,3.48801524250276,5.75262948089298,1.38925160290855
Monday 02-Mar-2020 20:00:00,3.47727398567033,3.20435571726075,5.26030470964208,1.31817684855998
Monday 02-Mar-2020 21:00:00,3.32359066195643,3.06578429184345,4.98641534094813,1.33152418563503
Monday 02-Mar-2020 22:00:00,3.1859410923226,2.89887185348508,4.74462937538422,1.24290646435599
Monday 02-Mar-2020 23:00:00,3.8205255148944,3.43402826908664,5.71658935782027,1.25965737394545
Tuesday 03-Mar-2020 00:00:00,3.36585574072745,2.97045335694202,4.98087403388146,1.19047817371353
Tuesday 03-Mar-2020 01:00:00,2.62740736102641,2.32724800099218,3.85870147365282,1.05771470048279
Tuesday 03-Mar-2020 02:00:00,2.61803108657454,2.44977266939548,3.93113276844756,1.10878248400712
Tuesday 03-Mar-2020 03:00:00,2.56522894038804,2.4108409836613,3.87818919884044,1.1543001983796
Tuesday 03-Mar-2020 04:00:00,2.67842068656935,2.43552684212699,3.95871442125815,1.12766886889996
Tuesday 03-Mar-2020 05:00:00,2.64140380618136,2.45207639774954,3.95400314151045,1.24724437349362
Tuesday 03-Mar-2020 06:00:00,2.99493818089402,2.89144036295729,4.56962777945981,1.43437538780953
Tuesday 03-Mar-2020 07:00:00,3.82431389013982,3.57606540216122,5.81808209471484,1.81898687624234
Tuesday 03-Mar-2020 08:00:00,4.19105174399867,3.86351638322084,6.30381864776402,2.10799945521407
Tuesday 03-Mar-2020 09:00:00,4.94583772107606,4.75132200812125,7.56223737176815,2.68108354040574
Tuesday 03-Mar-2020 10:00:00,5.97179826392009,5.61467406947565,9.11468852556129,2.91268271632342
Tuesday 03-Mar-2020 11:00:00,5.52771493390669,5.23429490662246,8.46658351266831,2.65182062777623
Tuesday 03-Mar-2020 12:00:00,6.12487544352675,5.8866161366048,9.41177069771475,3.45428907242726
Tuesday 03-Mar-2020 13:00:00,5.47696465923713,5.18116980858812,8.36787747763811,2.83616095109367
Tuesday 03-Mar-2020 14:00:00,5.77634141108471,5.50732545098086,8.81969321556684,2.51130070481787
Tuesday 03-Mar-2020 15:00:00,5.53832134769733,5.29735103005674,8.46778917040039,2.3483705044064
Tuesday 03-Mar-2020 16:00:00,5.13703960291739,4.87708107921254,7.90605610868423,2.27284080072347
Tuesday 03-Mar-2020 17:00:00,4.42728508277293,4.22529052093563,6.78083632237383,1.99597772388147
Tuesday 03-Mar-2020 18:00:00,3.65714176162523,3.51303263586175,5.61462990229315,1.59281181545167
Tuesday 03-Mar-2020 19:00:00,3.5165006415999,3.29738000034012,5.35873195954901,1.56321987087899
Tuesday 03-Mar-2020 20:00:00,3.18368130055924,2.9569545128204,4.81243309653315,1.32891594063652
Tuesday 03-Mar-2020 21:00:00,3.86910541546109,3.74696036936162,5.91408992337836,1.40040553871816
Tuesday 03-Mar-2020 22:00:00,3.03743078147285,2.87729255637826,4.64488685246383,1.11799575103977
Tuesday 03-Mar-2020 23:00:00,2.9868439377288,2.87682621860975,4.58333692165007,1.10334647474791
Wednesday 04-Mar-2020 00:00:00,2.76404619668023,2.58554511081936,4.16910040064,1.03608052253556
Wednesday 04-Mar-2020 01:00:00,2.65462087995584,2.57343595849053,4.05569393421333,1.0370822063041
Wednesday 04-Mar-2020 02:00:00,2.60237615179504,2.50796964606327,3.98694260665448,1.04815788689849
Wednesday 04-Mar-2020 03:00:00,2.68180331198162,2.56839118165565,4.08045135948688,1.1807589322795
