csvlblsprc,ovpr,wdaypr,wendpr,novpr,nwdaypr,nwendpr,moovpr,mowdaypr,mowendpr,afovpr,afwdaypr,afwendpr,evovpr,evwdaypr,evwendpr
2020_March_Z,-13.6903146231794,-17.4773703805966,-0.95899729835108,-0.838081092983297,-2.00845474289927,1.81586531867975,-12.6843471082063,-16.942069072019,3.72594294207354,-22.2576551990693,-27.0093853067885,-4.32773074986086,-10.0818246755402,-12.3383394410149,-3.85543572184646
2020_April_Z,-27.9775022187017,-31.9481762822158,-13.794408968786,-7.9917286062678,-9.74957630847105,-3.20519562170682,-27.7053964792865,-31.0051834921622,-15.3499524335393,-41.4743227774886,-46.3752388571517,-20.1722481494454,-20.2557551780992,-22.8388919476095,-13.2105228797542
2020_March_H,-16.2474982208961,-19.6511662215203,-5.64073974848304,-5.56882496925481,-7.09372936568373,-1.62876290022199,-16.2045823636892,-20.8563585445739,1.17709215543047,-23.1609012773517,-27.2318471178561,-9.99452260190818,-13.8646058294082,-15.2424963605753,-10.4025962754946
2020_April_H,-25.9807594727838,-28.4123012144085,-19.0755001533405,-13.9839281499512,-14.4939499618679,-12.9536547486225,-24.9747298551543,-26.7389674654261,-20.9701884336022,-34.8914643509945,-38.9931970920344,-20.5022630677944,-22.9949245923108,-24.244573605491,-20.263008334379
