mdtvec,mdcomps
Wednesday 14-Feb-2018 08:00:00,X
Wednesday 14-Feb-2018 08:00:00,Y
Wednesday 14-Feb-2018 08:00:00,Z
Thursday 15-Feb-2018 05:00:00,X
Thursday 15-Feb-2018 05:00:00,Y
Thursday 15-Feb-2018 05:00:00,Z
