irisevtid,Displacement,Magnitude,distance_deg
10608449,y,,
10276480,y,,
10044409,y,,
11048697,y,,
11135904,y,,69.04
11021706,y,,
11162064,n,6,67.98
11152685,y,6,67.02
10155192,y,,
10939181,y,,
11149768,y,6.3,65.59
10001793,y,6.3,
10050522,y,6.2,
10966680,y,6.2,
10607000,y,6.3,
10412396,y,6.3,
11153237,y,6,58.87
11014923,y,6.3,
10276786,n,6.4,
10934109,y,6.3,
10934221,y,6,
10945229,y,6.2,
11020682,y,6.2,
10118434,y,6.2,
10270541,y,6,
11056637,y,6.2,39.53
11162216,y,6.3,39.26
11161644,y,6,39.23
11161667,y,6,39.14
10938904,y,6.2,
11162097,y,6,36.74
11017822,n,6.1,
9953567,y,6,
10280470,y,6,
11056847,y,6.4,33.85
10606458,y,6.3,
10970217,y,6.3,
11053377,y,6.2,32.65
10937062,y,6.1,
11148193,y,6.3,31.03
11005635,y,6.2,
10965035,y,6.1,
10407658,y,6.1,
10974301,y,6,
11058875,y,7.1,33.9
10964158,n,6.8,70.37
10937587,y,6.8,111.13
10980324,y,6.6,123.51
11139179,y,6.5,129.49
10274017,y,6.6,138.67
10936816,y,6.5,144.74
11121308,y,6,22.17
10156814,n,6.2,30.56
11107596,y,6.3,39.16
10988919,y,6.1,72.08
10485355,y,6.1,76.44
11148228,n,6.3,77.81
10153227,n,6,94.59
11090460,y,6,96.3
11022772,y,6.4,103.99
11028779,y,6,104.44
11072311,n,6.1,107.35
10556106,y,6,107.5
11054354,n,6.4,109.92
11144351,y,6.1,110.25
10639230,y,6.1,113.9
11053874,y,6.3,119.68
11148457,y,6.2,120.24
10557904,y,6,124.36
11074626,y,6.2,127.88
10967590,n,6,129.11
11132447,y,6.4,129.73
11124051,y,6.2,130.16
11119154,n,6.1,145.32
10937584,y,6.3,146.55
11053787,y,5.7,71.56
11086296,n,5.6,118.22
11058978,n,5.5,115.94
11120269,y,5.6,67.5
11104606,n,5.5,111.23
11049566,n,5.5,118.94
11152085,y,5.6,30.39
10996827,n,5.7,127.76
11131793,y,5.7,87.48
11017881,n,5.5,139.26
11000404,y,5.5,37.19
11062377,n,5.6,91.58
11052307,y,5.6,37.46
11026329,n,5.7,93.11
11023279,n,5.7,82.28
11002647,n,5.7,139.62
11013097,n,5.5,140.64
11017881,n,5.5,139.26
11090230,n,5.6,74.46
11051151,y,5.7,120.44
11016611,y,5.7,76.04
11002150,n,5.5,82.43
11052712,n,5.7,132.12
11161458,n,5.8,118.36
11147205,n,5.9,128.91
11010652,n,5.6,119.53
11052564,n,5.6,132.01
11151313,n,5.5,122.36
11024896,n,5.8,106.12
11061696,n,5.7,132.11
11013196,y,5.5,32.52
11009986,n,5.5,69.22
11011746,n,5.8,127.37
