mmstvec,mmscomps
Wednesday 14-Feb-2018 09:00:00,X
Wednesday 14-Feb-2018 09:00:00,Y
Wednesday 14-Feb-2018 09:00:00,Z
Wednesday 14-Feb-2018 10:00:00,X
Wednesday 14-Feb-2018 10:00:00,Y
Wednesday 14-Feb-2018 10:00:00,Z
Wednesday 14-Feb-2018 11:00:00,X
Wednesday 14-Feb-2018 11:00:00,Y
Wednesday 14-Feb-2018 11:00:00,Z
Wednesday 14-Feb-2018 12:00:00,X
Wednesday 14-Feb-2018 12:00:00,Y
Wednesday 14-Feb-2018 12:00:00,Z
Wednesday 14-Feb-2018 13:00:00,X
Wednesday 14-Feb-2018 13:00:00,Y
Wednesday 14-Feb-2018 13:00:00,Z
Wednesday 14-Feb-2018 14:00:00,X
Wednesday 14-Feb-2018 14:00:00,Y
Wednesday 14-Feb-2018 14:00:00,Z
Wednesday 14-Feb-2018 15:00:00,X
Wednesday 14-Feb-2018 15:00:00,Y
Wednesday 14-Feb-2018 15:00:00,Z
Wednesday 14-Feb-2018 16:00:00,X
Wednesday 14-Feb-2018 16:00:00,Y
Wednesday 14-Feb-2018 16:00:00,Z
Wednesday 14-Feb-2018 17:00:00,X
Wednesday 14-Feb-2018 17:00:00,Y
Wednesday 14-Feb-2018 17:00:00,Z
Wednesday 14-Feb-2018 18:00:00,X
Wednesday 14-Feb-2018 18:00:00,Y
Wednesday 14-Feb-2018 18:00:00,Z
Wednesday 14-Feb-2018 19:00:00,X
Wednesday 14-Feb-2018 19:00:00,Y
Wednesday 14-Feb-2018 19:00:00,Z
Wednesday 14-Feb-2018 20:00:00,X
Wednesday 14-Feb-2018 20:00:00,Y
Wednesday 14-Feb-2018 20:00:00,Z
Wednesday 14-Feb-2018 21:00:00,X
Wednesday 14-Feb-2018 21:00:00,Y
Wednesday 14-Feb-2018 21:00:00,Z
Wednesday 14-Feb-2018 22:00:00,X
Wednesday 14-Feb-2018 22:00:00,Y
Wednesday 14-Feb-2018 22:00:00,Z
Wednesday 14-Feb-2018 23:00:00,X
Wednesday 14-Feb-2018 23:00:00,Y
Wednesday 14-Feb-2018 23:00:00,Z
Thursday 15-Feb-2018 00:00:00,X
Thursday 15-Feb-2018 00:00:00,Y
Thursday 15-Feb-2018 00:00:00,Z
Thursday 15-Feb-2018 01:00:00,X
Thursday 15-Feb-2018 01:00:00,Y
Thursday 15-Feb-2018 01:00:00,Z
Thursday 15-Feb-2018 02:00:00,X
Thursday 15-Feb-2018 02:00:00,Y
Thursday 15-Feb-2018 02:00:00,Z
Thursday 15-Feb-2018 03:00:00,X
Thursday 15-Feb-2018 03:00:00,Y
Thursday 15-Feb-2018 03:00:00,Z
Thursday 15-Feb-2018 04:00:00,X
Thursday 15-Feb-2018 04:00:00,Y
Thursday 15-Feb-2018 04:00:00,Z
