csvlblsprc,ovpr,wdaypr,wendpr,novpr,nwdaypr,nwendpr,moovpr,mowdaypr,mowendpr,afovpr,afwdaypr,afwendpr,evovpr,evwdaypr,evwendpr
2020_March_Z,-10.6996462468011,-13.6778703863262,-4.49005788675517,-6.96768932469675,-5.6421451480005,-11.2919905655262,-6.23517350221132,-9.65245540369833,1.6388156055411,-17.0378645134558,-22.8687311621903,0.218607093458005,-11.4790706270937,-12.6814931917365,-9.55604611610879
2020_April_Z,-25.4818911460636,-28.8149399200408,-16.8678548819636,-13.6791403056075,-13.0962129776225,-15.6666361070316,-22.3656843722323,-24.9498248787276,-17.0532430790955,-37.5447810892678,-43.333182143251,-16.3788403832267,-21.4949075834393,-23.1409410243572,-18.3564507759264
2020_March_H,-9.2167207597752,-11.7153098206786,-4.31728437238172,-5.46271467402875,-3.78114207188786,-9.9973918607695,-6.55048164816221,-10.2968519828368,3.16178373360823,-14.9944029558795,-20.005692485106,-2.44281077748689,-8.63357479398556,-9.09670488535875,-8.68157183575494
2020_April_H,-19.7670608138396,-21.3417605367998,-17.9404767958566,-13.8872737265024,-11.4452186656364,-20.3588535369799,-16.3310410399546,-16.9643306210479,-19.4199382920005,-27.971696213027,-32.9349892909285,-13.8321801199493,-18.3183808413772,-18.7515253944744,-18.731386817423
